scheme,signature_bytes,overhead_65536_bytes_percent,overhead_262144_bytes_percent,overhead_1048576_bytes_percent,overhead_4194304_bytes_percent
ECDSA P-256,64,0.0977,0.0244,0.0061,0.0015
RSA-PSS-2048,256,0.3906,0.0977,0.0244,0.0061
ML-DSA-44,2420,3.6926,0.9232,0.2308,0.0577
ML-DSA-65,3309,5.0491,1.2623,0.3156,0.0789
SLH-DSA-SHA2-128s,7856,11.9873,2.9968,0.7492,0.1873
ECDSA + ML-DSA-44,2484,3.7903,0.9476,0.2369,0.0592
ECDSA + SLH-DSA-128s,7920,12.0850,3.0212,0.7553,0.1888
